,Symbol,Name,Price,Change %,Volume,Rel Volume,Market Cap,P/E,EPS (dil TTM),EPS Growth (TTM YoY),Div Yield % TTM,Sector,Analyst Rating
48,ACIU,AC Immune SA,2.52,−0.40%,93680.0,0.73,249340000.0,—,−0.58 USD,+18.85%,0.00%,Health technology,Strong buy
49,ACIW,"ACI Worldwide, Inc.",52.36,−1.02%,960080.0,0.85,5400000000.0,22.17,2.36 USD,+39.79%,0.00%,Technology services,Strong buy
50,ACLS,"Axcelis Technologies, Inc.",98.47,−1.96%,703220.0,1.23,3090000000.0,20.13,4.89 USD,−32.62%,0.00%,Producer manufacturing,Neutral
51,ACLX,"Arcellx, Inc.",79.15,+1.19%,315070.0,0.62,4390000000.0,—,−3.41 USD,−216.87%,0.00%,Health technology,Strong buy
52,ACM,AECOM,129.99,−2.21%,1110000.0,0.92,17220000000.0,26.44,4.92 USD,+164.29%,0.75%,Industrial services,Buy
53,ACMR,"ACM Research, Inc.",38.99,+6.30%,4590000.0,2.43,2500000000.0,23.66,1.65 USD,+31.10%,0.00%,Producer manufacturing,Strong buy
54,ACN,Accenture plc,235.5,−1.87%,6780000.0,1.14,146680000000.0,18.74,12.56 USD,+15.01%,2.47%,Technology services,Buy
55,ACNB,ACNB Corporation,44.36,−0.54%,12830.0,0.63,464340000.0,16.45,2.70 USD,−26.20%,2.96%,Finance,Strong buy
56,ACNT,Ascent Industries Co.,12.64,−3.07%,33850.0,0.38,118410000.0,—,−0.29 USD,+77.99%,0.00%,Non-energy minerals,Neutral
57,ACOG,Alpha Cognition Inc.,8.2,+2.50%,33880.0,0.37,132520000.00000001,—,−1.59 USD,+53.49%,0.00%,Finance,Strong buy
58,ACON,"Aclarion, Inc.",8.05,−9.45%,18710.0,0.81,4690000.0,—,"−2,920.94 USD",+91.92%,0.00%,Technology services,Strong buy
59,ACRS,"Aclaris Therapeutics, Inc.",1.83,−5.18%,742440.0,0.56,198250000.0,—,−1.37 USD,−65.54%,0.00%,Health technology,Strong buy
60,ACRV,"Acrivon Therapeutics, Inc.",1.58,−4.82%,405330.0,0.41,49700000.0,—,−2.25 USD,+18.86%,0.00%,Health technology,Strong buy
61,ACT,"Enact Holdings, Inc.",38.53,+0.21%,783420.0,1.40,5680000000.0,8.75,4.40 USD,+5.78%,2.05%,Finance,Neutral
62,ACTG,Acacia Research Corporation,3.28,−1.20%,106180.0,0.44,316340000.0,—,−0.06 USD,−110.87%,0.00%,Commercial services,Strong buy
63,ACTU,"Actuate Therapeutics, Inc.",6.88,−2.96%,29330.0,0.23,159910000.0,—,−1.26 USD,—,0.00%,Health technology,Strong buy
64,ACU,Acme,41.03,−2.91%,12260.0,0.64,155880000.0,16.29,2.52 USD,−48.84%,1.44%,Distribution services,Strong buy
65,ACVA,ACV Auctions Inc.,10.13,−1.94%,1810000.0,0.43,1740000000.0,—,−0.38 USD,+21.11%,0.00%,Technology services,Strong buy
66,ACXP,"Acurx Pharmaceuticals, Inc.",4.09,+0.25%,35630.0,0.27,6480000.0,—,−10.75 USD,+53.79%,0.00%,Health technology,Strong buy
67,AD,"Array Digital Infrastructure, Inc.",48.37,−0.04%,204420.0,0.81,4179999999.9999995,—,−0.31 USD,−137.00%,0.00%,Communications,Buy
68,ADBE,Adobe Inc.,361.78,−0.63%,3830000.0,0.53,153470000000.0,22.53,16.06 USD,+35.60%,0.00%,Technology services,Buy
69,ADCT,ADC Therapeutics SA,3.38,−2.87%,978460.0,1.28,380250000.0,—,−1.57 USD,+38.73%,0.00%,Health technology,Strong buy
70,ADEA,Adeia Inc.,16.87,−0.47%,476430.0,0.82,1850000000.0,22.75,0.74 USD,+81.03%,1.18%,Technology services,Strong buy
71,ADGM,"Adagio Medical Holdings, Inc",2.03,+18.71%,505110.0,0.32,31220000.0,—,−4.94 USD,+71.02%,0.00%,Health technology,Neutral
72,ADI,"Analog Devices, Inc.",246.78,−0.23%,2089999.9999999998,0.76,121400000000.0,62.78,3.93 USD,+18.53%,1.54%,Electronic technology,Buy
73,ADIL,"Adial Pharmaceuticals, Inc",0.3438,+0.06%,413640.0,0.56,7500000.0,—,−1.22 USD,+75.96%,0.00%,Health technology,Buy
74,ADM,Archer-Daniels-Midland Company,60.7,+1.40%,3620000.0,0.89,29160000000.0,26.72,2.27 USD,−54.46%,3.39%,Process industries,Neutral
75,ADMA,ADMA Biologics Inc,15.98,−0.31%,2680000.0,0.73,3810000000.0,18.82,0.85 USD,+504.05%,0.00%,Health technology,Buy
76,ADN,"Advent Technologies Holdings, Inc.",3.47,+2.97%,299150.0,0.61,9270000.0,—,−10.39 USD,+56.27%,0.00%,Electronic technology,Neutral
77,ADNT,Adient plc,24.45,−0.49%,957370.0,0.82,1990000000.0,—,−2.64 USD,−457.34%,0.00%,Producer manufacturing,Neutral
78,ADP,"Automatic Data Processing, Inc.",289.21,−1.51%,1930000.0,0.93,117140000000.0,28.97,9.98 USD,+9.67%,2.05%,Technology services,Neutral
79,ADPT,Adaptive Biotechnologies Corporation,13.93,−0.07%,2110000.0,1.11,2120000000.0,—,−0.81 USD,+44.48%,0.00%,Health technology,Strong buy
80,ADSE,ADS-TEC ENERGY PLC,10.18,+1.80%,117860.0,1.26,558270000.0,—,−1.39 USD,+9.90%,0.00%,Producer manufacturing,Neutral
81,ADSK,"Autodesk, Inc.",324.86,+0.14%,1420000.0,0.88,69200000000.0,67.36,4.82 USD,−1.21%,0.00%,Technology services,Buy
82,ADT,ADT Inc.,8.58,−1.83%,7210000.0,0.68,6660000000.0,12.85,0.67 USD,−3.61%,2.52%,Commercial services,Buy
83,ADTN,"ADTRAN Holdings, Inc.",9.56,−0.93%,1680000.0,0.48,765300000.0,—,−1.32 USD,+81.33%,0.00%,Electronic technology,Buy
84,ADTX,"Aditxt, Inc.",1.02,−0.97%,335310.0,1.95,5080000.0,—,"−27,818.97 USD",+96.06%,0.00%,Health technology,Neutral
85,ADUS,Addus HomeCare Corporation,114.67,+0.41%,162290.0,1.03,2109999999.9999998,25.29,4.53 USD,+7.71%,0.00%,Health services,Strong buy
86,ADV,Advantage Solutions Inc.,1.75,+0.57%,319260.0,0.30,570410000.0,—,−1.03 USD,−81.08%,0.00%,Commercial services,Buy
87,ADVB,Advanced Biomed Inc.,0.456,+0.24%,98310.0,0.23,9870000.0,—,—,—,0.00%,Health technology,Neutral
88,ADVM,"Adverum Biotechnologies, Inc.",4.06,+17.34%,8670000.0,42.49,85200000.0,—,−7.85 USD,+1.80%,0.00%,Health technology,Strong buy
89,AEBI,Aebi Schmidt Holding AG,12.85,−5.38%,206760.0,0.64,993350000.0,—,—,—,0.00%,Consumer durables,Buy
90,AEE,Ameren Corporation,100.91,+1.84%,1190000.0,0.88,27290000000.0,22.16,4.55 USD,+3.12%,2.79%,Utilities,Buy
91,AEHL,Antelope Enterprise Holdings Limited,3.23,+7.67%,146660.0,0.04,11040000.0,—,−42.43 USD,+71.98%,0.00%,Producer manufacturing,Neutral
92,AEHR,Aehr Test Systems,33.63,+3.38%,1920000.0,1.29,1010000000.0,—,−0.13 USD,−111.70%,0.00%,Electronic technology,Buy
93,AEI,Alset Inc.,2.81,−15.36%,424330.0,0.35,110210000.0,—,−1.05 USD,+83.05%,0.00%,Finance,Neutral
94,AEIS,"Advanced Energy Industries, Inc.",176.59,+1.04%,374370.0,0.79,6650000000.0,80.12,2.20 USD,−8.11%,0.23%,Electronic technology,Buy
95,AEMD,"Aethlon Medical, Inc.",0.7796,+0.09%,227570.0,0.26,2029999.9999999998,—,−6.58 USD,+78.72%,0.00%,Health technology,Neutral
96,AENT,Alliance Entertainment Holding Corporation,6.67,−2.84%,22550.0,0.17,339890000.0,22.54,0.30 USD,+230.98%,0.00%,Distribution services,Strong buy
97,AEO,"American Eagle Outfitters, Inc.",17.97,+0.11%,8340000.0,0.69,3040000000.0,17.30,1.04 USD,−16.68%,2.79%,Retail trade,Neutral
98,AEON,"AEON Biopharma, Inc.",0.791,+2.91%,354710.0,4.35,9210000.0,—,−5.81 USD,−115.41%,0.00%,Health technology,Strong buy
99,AEP,"American Electric Power Company, Inc.",108.14,+1.02%,3050000.0,1.01,57830000000.0,15.84,6.83 USD,+36.22%,3.48%,Utilities,Neutral
100,AER,AerCap Holdings N.V.,122.29,−0.06%,1240000.0,1.06,21590000000.0,7.62,16.05 USD,+3.37%,0.87%,Finance,Strong buy
101,AERT,"Aeries Technology, Inc.",0.8871,+2.02%,799400.0,0.04,41830000.0,—,−0.08 USD,−113.35%,0.00%,Technology services,Neutral
102,AES,The AES Corporation,13.14,+0.08%,7180000.0,0.72,9360000000.0,9.28,1.42 USD,+35.10%,5.33%,Utilities,Buy
103,AESI,Atlas Energy Solutions Inc.,11.6,+2.65%,3190000.0,1.82,1440000000.0,89.30,0.13 USD,−87.36%,8.76%,Industrial services,Buy
104,AEVA,"Aeva Technologies, Inc.",18.17,−0.66%,1990000.0,0.75,1020000000.0,—,−5.50 USD,−74.39%,0.00%,Electronic technology,Strong buy
105,AEYE,"AudioEye, Inc.",13.93,−1.62%,88340.0,1.04,172840000.0,—,−0.34 USD,−16.24%,0.00%,Technology services,Strong buy
106,AFBI,"Affinity Bancshares, Inc.",19.87,+1.33%,2580.0,0.51,125030000.0,18.44,1.08 USD,+27.46%,0.00%,Finance,Neutral
107,AFG,"American Financial Group, Inc.",143.53,+0.86%,476590.0,0.86,11970000000.0,15.75,9.11 USD,−14.07%,2.25%,Finance,Neutral
108,AFJK,"Aimei Health Technology Co., Ltd",11.32,−0.09%,,0.03,69300000.0,50.02,0.23 USD,+32.65%,0.00%,Finance,Neutral
109,AFL,AFLAC Incorporated,108.23,+0.77%,2540000.0,0.92,57880000000.0,24.47,4.42 USD,−53.20%,2.09%,Finance,Neutral
110,AFRI,Forafric Global PLC,8.84,−0.56%,4990.0,0.25,237810000.0,—,−0.90 USD,−91.82%,0.00%,Process industries,Neutral
111,AFRM,"Affirm Holdings, Inc.",82.73,−8.20%,7700000.0,1.02,26940000000.0,645.82,0.13 USD,—,0.00%,Finance,Buy
112,AFYA,Afya Limited,16.17,+0.75%,103790.0,1.22,1460000000.0,12.48,1.30 USD,+9.24%,0.00%,Consumer services,Buy
113,AGAE,Allied Gaming & Entertainment Inc.,1.01,0.00%,200790.0,0.02,38400000.0,—,−0.52 USD,−225.42%,0.00%,Consumer services,Neutral
114,AGCO,AGCO Corporation,109.67,+0.19%,464550.0,0.60,8180000000.0,82.44,1.33 USD,−76.25%,1.06%,Producer manufacturing,Neutral
115,AGEN,Agenus Inc.,4.44,−3.48%,410860.0,0.81,141480000.0,—,−7.15 USD,+36.16%,0.00%,Health technology,Buy
116,AGH,Aureus Greenway Holdings Inc.,2.28,+1.33%,499660.0,1.08,33310000.000000004,—,−0.03 USD,−60.00%,0.00%,Consumer services,Neutral
117,AGIO,"Agios Pharmaceuticals, Inc.",37.87,−0.84%,426920.0,0.64,2200000000.0,3.43,11.05 USD,—,0.00%,Health technology,Buy
118,AGL,"agilon health, inc.",1.11,−1.77%,7020000.0,0.90,460010000.0,—,−0.80 USD,−29.12%,0.00%,Health services,Neutral
119,AGM,Federal Agricultural Mortgage Corporation,180.27,−0.21%,65930.0,0.91,1920000000.0,10.62,16.98 USD,+3.64%,3.21%,Finance,Buy
120,AGMH,AGM Group Holdings Inc.,8.0,−17.27%,1390000.0,0.06,16129999.999999998,1.24,6.43 USD,—,0.00%,Technology services,Neutral
121,AGO,Assured Guaranty Ltd.,83.69,+0.14%,267950.0,0.71,3980000000.0,9.25,9.05 USD,−26.99%,1.59%,Finance,Strong buy
122,AGRI,AgriFORCE Growing Systems Ltd.,4.21,−26.53%,2850000.0,0.23,5510000.0,—,−99.14 USD,+97.83%,0.00%,Commercial services,Neutral
123,AGRO,Adecoagro S.A.,8.1,−1.10%,567020.0,1.27,809940000.0,22.71,0.36 USD,−82.34%,4.26%,Process industries,Neutral
124,AGX,"Argan, Inc.",266.64,−0.63%,280380.0,0.72,3680000000.0,32.09,8.31 USD,+161.14%,0.56%,Industrial services,Neutral
125,AGYS,"Agilysys, Inc.",105.91,−0.97%,140940.0,0.56,2970000000.0,213.87,0.50 USD,−86.29%,0.00%,Technology services,Strong buy
126,AHCO,AdaptHealth Corp.,8.97,+1.36%,907150.0,0.77,1210000000.0,16.77,0.53 USD,—,0.00%,Finance,Buy
127,AHL,Aspen Insurance Holdings Limited,36.73,+0.11%,306990.0,0.52,3370000000.0,10.04,3.66 USD,—,0.00%,Finance,Neutral
128,AI,"C3.ai, Inc.",18.12,−2.11%,9160000.0,0.99,2430000000.0,—,−2.59 USD,−13.27%,0.00%,Technology services,Neutral
129,AIFF,"Firefly Neuroscience, Inc.",2.85,−3.06%,331030.0,1.02,38170000.0,—,−2.94 USD,+1.19%,0.00%,Health technology,Neutral
130,AIFU,AIFU Inc.,6.11,+8.53%,39260.0,1.13,32970000.0,5.55,1.10 USD,+11.84%,0.00%,Finance,Neutral
131,AIG,"American International Group, Inc. New",76.7,+0.22%,5100000.0,0.83,42490000000.0,14.22,5.40 USD,−5.80%,2.16%,Finance,Buy
132,AIHS,Senmiao Technology Limited,2.3,−2.54%,95660.0,0.02,2550000.0,—,−3.05 USD,+28.22%,0.00%,Finance,Neutral
133,AII,"American Integrity Insurance Group, Inc.",21.99,−2.09%,107440.0,0.52,430390000.0,—,—,—,0.00%,Finance,Strong buy
134,AIIO,Robo.ai Inc.,1.84,+8.24%,10870000.0,0.84,537650000.0,—,−0.59 USD,"−3,567.70%",0.00%,Consumer durables,Neutral
135,AIM,AIM ImmunoTech Inc.,2.65,−7.03%,251620.0,2.88,7160000.0,—,−25.00 USD,+56.07%,0.00%,Health technology,Strong buy
136,AIMD,"Ainos, Inc.",3.74,−1.58%,55070.0,0.66,17800000.0,—,−5.18 USD,+66.22%,0.00%,Health technology,Neutral
137,AIN,Albany International Corporation,55.61,−0.94%,248870.0,0.92,1640000000.0,27.75,2.00 USD,−42.68%,1.91%,Process industries,Neutral
138,AIOT,"PowerFleet, Inc.",5.57,+3.34%,1350000.0,0.77,743280000.0,—,−0.30 USD,+86.58%,0.00%,Electronic technology,Strong buy
139,AIP,"Arteris, Inc.",10.25,−1.82%,424040.0,0.78,437160000.0,—,−0.82 USD,+16.54%,0.00%,Electronic technology,Buy
140,AIR,AAR Corp.,78.35,+1.89%,1330000.0,3.46,2820000000.0,234.37,0.33 USD,−74.18%,0.00%,Electronic technology,Strong buy
141,AIRE,reAlpha Tech Corp.,0.7004,−24.69%,23340000.0,0.41,63310000.0,—,−0.65 USD,—,0.00%,Technology services,Neutral
142,AIRG,"Airgain, Inc.",4.27,−3.83%,31610.0,0.76,50830000.0,—,−0.59 USD,+49.74%,0.00%,Electronic technology,Strong buy
143,AIRI,Air Industries Group,3.1,+0.32%,71580.0,1.57,14790000.0,—,−0.67 USD,−43.44%,0.00%,Electronic technology,Strong buy
144,AIRJ,AirJoule Technologies Corporation,5.0,+3.09%,104910.0,0.60,302200000.0,7.61,0.66 USD,−85.16%,0.00%,Producer manufacturing,Strong buy
145,AIRO,"AIRO Group Holdings, Inc.",19.66,−2.43%,997180.0,0.78,621670000.0,—,—,—,0.00%,Electronic technology,Strong buy
146,AIRS,"AirSculpt Technologies, Inc.",7.23,+6.01%,1190000.0,1.71,451420000.0,—,−0.25 USD,−303.72%,0.00%,Health technology,Neutral
147,AIRT,"Air T, Inc.",23.59,+2.52%,,0.14,63760000.0,—,−2.76 USD,−17.39%,0.00%,Transportation,Neutral
148,AISP,"Airship AI Holdings, Inc",5.52,−1.95%,1170000.0,0.93,176140000.0,—,−1.61 USD,"−3,618.52%",0.00%,Technology services,Neutral
149,AIT,"Applied Industrial Technologies, Inc.",264.9,−0.22%,184990.0,0.80,10000000000.0,26.16,10.13 USD,+3.05%,0.66%,Distribution services,Buy
150,AIZ,"Assurant, Inc.",212.5,+0.62%,371460.0,1.12,10720000000.0,15.38,13.81 USD,−7.97%,1.48%,Finance,Buy
151,AJG,Arthur J. Gallagher & Co.,304.36,+1.43%,1600000.0,1.09,78040000000.0,45.88,6.63 USD,+29.12%,0.83%,Finance,Buy
152,AKA,a.k.a. Brands Holding Corp.,10.47,−0.58%,1420.0,0.69,113540000.0,—,−2.51 USD,+71.96%,0.00%,Retail trade,Buy
153,AKAM,"Akamai Technologies, Inc.",75.27,−1.84%,1660000.0,0.78,10790000000.0,26.69,2.82 USD,−30.08%,0.00%,Technology services,Buy
154,AKAN,Akanda Corp.,3.63,+0.83%,26620.0,0.58,2640000.0,—,−20.22 USD,+98.87%,0.00%,Process industries,Neutral
155,AKBA,"Akebia Therapeutics, Inc.",2.83,+1.43%,2200000.0,0.61,750360000.0,—,−0.17 USD,+14.38%,0.00%,Health technology,Strong buy
156,AKRO,"Akero Therapeutics, Inc.",47.84,+3.08%,917930.0,0.65,3830000000.0,—,−3.80 USD,−11.39%,0.00%,Health technology,Strong buy
157,AL,Air Lease Corporation,63.51,0.00%,1560000.0,0.49,7100000000.0,7.71,8.24 USD,+76.37%,1.37%,Finance,Neutral
158,ALAB,"Astera Labs, Inc.",230.11,−3.03%,6130000.0,0.91,38250000000.0,403.49,0.57 USD,—,0.00%,Electronic technology,Buy
159,ALB,Albemarle Corporation,80.12,−0.32%,2220000.0,0.51,9430000000.0,—,−9.33 USD,−97.24%,2.02%,Process industries,Neutral
160,ALBT,Avalon GloboCare Corp.,2.72,−0.37%,54080.0,0.56,10430000.0,—,−36.99 USD,−82.81%,0.00%,Health technology,Neutral
161,ALCO,"Alico, Inc.",33.28,−2.35%,20910.0,0.91,254440000.0,—,−20.56 USD,−700.99%,0.59%,Process industries,Buy
162,ALCY,Alchemy Investments Acquisition Corp 1,11.45,−2.55%,1440.0,0.07,51900000.0,—,−0.00 USD,−101.04%,0.00%,Finance,Neutral
163,ALDF,Aldel Financial II Inc.,10.42,+0.05%,2540.0,0.03,311230000.0,53.60,0.19 USD,—,0.00%,Finance,Neutral
164,ALDX,"Aldeyra Therapeutics, Inc.",5.11,+3.23%,672110.0,0.72,306070000.0,—,−0.85 USD,−32.74%,0.00%,Health technology,Strong buy
165,ALE,"Allete, Inc.",63.98,+0.05%,509430.0,0.78,3710000000.0,20.21,3.17 USD,−17.50%,4.53%,Utilities,Buy
166,ALEC,"Alector, Inc.",3.18,0.00%,948670.0,0.63,321860000.0,—,−1.17 USD,+35.46%,0.00%,Health technology,Buy
167,ALF,Centurion Acquisition Corp.,10.55,0.00%,123090.0,1.81,379140000.0,28.68,0.37 USD,—,0.00%,Finance,Neutral
168,ALG,"Alamo Group, Inc.",196.8,−0.48%,92910.0,0.92,2380000000.0,20.04,9.82 USD,−7.01%,0.59%,Producer manufacturing,Buy
169,ALGM,"Allegro MicroSystems, Inc.",31.41,−0.03%,1250000.0,0.76,5810000000.0,—,−0.37 USD,−196.79%,0.00%,Electronic technology,Strong buy
170,ALGN,"Align Technology, Inc.",129.0,−1.66%,959880.0,0.72,9350000000.0,21.76,5.93 USD,+0.57%,0.00%,Health technology,Buy
171,ALGS,"Aligos Therapeutics, Inc.",10.25,+7.56%,96080.0,1.69,63050000.0,—,−19.79 USD,−63.76%,0.00%,Health technology,Strong buy
172,ALGT,Allegiant Travel Company,61.98,+0.87%,316230.0,0.76,1140000000.0,—,−15.94 USD,"−1,686.02%",0.00%,Transportation,Neutral
173,ALHC,"Alignment Healthcare, Inc.",17.04,−0.29%,3300000.0,0.54,3370000000.0,—,−0.27 USD,+66.37%,0.00%,Health services,Buy
174,ALIT,"Alight, Inc.",3.16,−5.11%,8890000.0,1.21,1700000000.0,—,−2.16 USD,−396.87%,3.60%,Technology services,Strong buy
175,ALK,"Alaska Air Group, Inc.",54.14,−1.17%,2850000.0,0.82,6240000000.0,22.01,2.46 USD,+42.46%,0.00%,Transportation,Strong buy
176,ALKS,Alkermes plc,27.75,+0.43%,1740000.0,0.74,4580000000.0,13.32,2.08 USD,+23.42%,0.00%,Health technology,Buy
177,ALKT,"Alkami Technology, Inc.",25.63,+0.95%,1880000.0,1.55,2670000000.0,—,−0.38 USD,+29.87%,0.00%,Technology services,Strong buy
178,ALL,Allstate Corporation (The),207.73,+0.62%,1240000.0,0.73,54740000000.0,9.77,21.27 USD,+93.32%,1.90%,Finance,Buy
